week_start,week_of_year,category,district,season_factor,demand_kg,is_demo_sample
2024-01-29,5,Nuts & Oilseeds,Chennai,1.17,946.3,True
2024-01-29,5,Nuts & Oilseeds,Erode,1.17,745.4,True
2024-01-29,5,Nuts & Oilseeds,Thanjavur,1.17,747.0,True
2024-02-05,6,Vegetables,Coimbatore,1.2,1914.0,True
2024-02-05,6,Vegetables,Madurai,1.2,2014.7,True
2024-02-05,6,Vegetables,Chennai,1.2,2288.8,True
2024-02-05,6,Vegetables,Erode,1.2,1831.1,True
2024-02-05,6,Vegetables,Thanjavur,1.2,2016.2,True
2024-02-05,6,Fruits,Coimbatore,1.2,1504.4,True
2024-02-05,6,Fruits,Madurai,1.2,1244.4,True
2024-02-05,6,Fruits,Chennai,1.2,1406.0,True
2024-02-05,6,Fruits,Erode,1.2,1013.6,True
2024-02-05,6,Fruits,Thanjavur,1.2,1367.2,True
2024-02-05,6,Grains & Pulses,Coimbatore,1.2,3525.6,True
2024-02-05,6,Grains & Pulses,Madurai,1.2,2881.9,True
2024-02-05,6,Grains & Pulses,Chennai,1.2,4077.9,True
2024-02-05,6,Grains & Pulses,Erode,1.2,3021.9,True
2024-02-05,6,Grains & Pulses,Thanjavur,1.2,3378.2,True
2024-02-05,6,Spices & Herbs,Coimbatore,1.2,642.5,True
2024-02-05,6,Spices & Herbs,Madurai,1.2,600.5,True
2024-02-05,6,Spices & Herbs,Chennai,1.2,866.6,True
2024-02-05,6,Spices & Herbs,Erode,1.2,587.0,True
2024-02-05,6,Spices & Herbs,Thanjavur,1.2,582.1,True
2024-02-05,6,Nuts & Oilseeds,Coimbatore,1.2,991.8,True
2024-02-05,6,Nuts & Oilseeds,Madurai,1.2,890.3,True
2024-02-05,6,Nuts & Oilseeds,Chennai,1.2,1106.8,True
2024-02-05,6,Nuts & Oilseeds,Erode,1.2,760.2,True
2024-02-05,6,Nuts & Oilseeds,Thanjavur,1.2,951.4,True
2024-02-12,7,Vegetables,Coimbatore,1.22,2092.9,True
2024-02-12,7,Vegetables,Madurai,1.22,2076.3,True
2024-02-12,7,Vegetables,Chennai,1.22,2148.8,True
2024-02-12,7,Vegetables,Erode,1.22,1929.2,True
2024-02-12,7,Vegetables,Thanjavur,1.22,2132.7,True
2024-02-12,7,Fruits,Coimbatore,1.22,1364.3,True
2024-02-12,7,Fruits,Madurai,1.22,1377.5,True
2024-02-12,7,Fruits,Chennai,1.22,1592.9,True
2024-02-12,7,Fruits,Erode,1.22,1059.7,True
2024-02-12,7,Fruits,Thanjavur,1.22,1435.0,True
2024-02-12,7,Grains & Pulses,Coimbatore,1.22,2755.8,True
2024-02-12,7,Grains & Pulses,Madurai,1.22,3245.2,True
2024-02-12,7,Grains & Pulses,Chennai,1.22,3884.9,True
2024-02-12,7,Grains & Pulses,Erode,1.22,2352.4,True
2024-02-12,7,Grains & Pulses,Thanjavur,1.22,3515.1,True
2024-02-12,7,Spices & Herbs,Coimbatore,1.22,607.2,True
2024-02-12,7,Spices & Herbs,Madurai,1.22,593.9,True
2024-02-12,7,Spices & Herbs,Chennai,1.22,877.2,True
2024-02-12,7,Spices & Herbs,Erode,1.22,623.8,True
2024-02-12,7,Spices & Herbs,Thanjavur,1.22,558.6,True
2024-02-12,7,Nuts & Oilseeds,Coimbatore,1.22,1050.9,True
2024-02-12,7,Nuts & Oilseeds,Madurai,1.22,840.0,True
2024-02-12,7,Nuts & Oilseeds,Chennai,1.22,958.2,True
2024-02-12,7,Nuts & Oilseeds,Erode,1.22,740.6,True
2024-02-12,7,Nuts & Oilseeds,Thanjavur,1.22,870.2,True
2024-02-19,8,Vegetables,Coimbatore,1.25,2356.1,True
2024-02-19,8,Vegetables,Madurai,1.25,1937.5,True
2024-02-19,8,Vegetables,Chennai,1.25,2685.3,True
2024-02-19,8,Vegetables,Erode,1.25,1496.9,True
2024-02-19,8,Vegetables,Thanjavur,1.25,2143.7,True
2024-02-19,8,Fruits,Coimbatore,1.25,1602.4,True
2024-02-19,8,Fruits,Madurai,1.25,1439.1,True
2024-02-19,8,Fruits,Chennai,1.25,1810.4,True
2024-02-19,8,Fruits,Erode,1.25,1047.3,True
2024-02-19,8,Fruits,Thanjavur,1.25,1278.8,True
2024-02-19,8,Grains & Pulses,Coimbatore,1.25,2830.2,True
2024-02-19,8,Grains & Pulses,Madurai,1.25,3445.2,True
2024-02-19,8,Grains & Pulses,Chennai,1.25,3713.0,True
2024-02-19,8,Grains & Pulses,Erode,1.25,2693.2,True
2024-02-19,8,Grains & Pulses,Thanjavur,1.25,3044.7,True
2024-02-19,8,Spices & Herbs,Coimbatore,1.25,577.5,True
2024-02-19,8,Spices & Herbs,Madurai,1.25,589.1,True
2024-02-19,8,Spices & Herbs,Chennai,1.25,720.3,True
2024-02-19,8,Spices & Herbs,Erode,1.25,495.0,True
2024-02-19,8,Spices & Herbs,Thanjavur,1.25,573.7,True
2024-02-19,8,Nuts & Oilseeds,Coimbatore,1.25,957.5,True
2024-02-19,8,Nuts & Oilseeds,Madurai,1.25,1006.2,True
2024-02-19,8,Nuts & Oilseeds,Chennai,1.25,994.7,True
2024-02-19,8,Nuts & Oilseeds,Erode,1.25,840.6,True
2024-02-19,8,Nuts & Oilseeds,Thanjavur,1.25,812.6,True
2024-02-26,9,Vegetables,Coimbatore,1.27,2170.7,True
2024-02-26,9,Vegetables,Madurai,1.27,2000.2,True
2024-02-26,9,Vegetables,Chennai,1.27,2250.7,True
2024-02-26,9,Vegetables,Erode,1.27,1800.3,True
2024-02-26,9,Vegetables,Thanjavur,1.27,2211.6,True
2024-02-26,9,Fruits,Coimbatore,1.27,1235.3,True
2024-02-26,9,Fruits,Madurai,1.27,1204.5,True
2024-02-26,9,Fruits,Chennai,1.27,1929.8,True
2024-02-26,9,Fruits,Erode,1.27,1259.7,True
2024-02-26,9,Fruits,Thanjavur,1.27,1534.5,True
2024-02-26,9,Grains & Pulses,Coimbatore,1.27,2884.9,True
2024-02-26,9,Grains & Pulses,Madurai,1.27,2788.2,True
2024-02-26,9,Grains & Pulses,Chennai,1.27,3748.6,True
2024-02-26,9,Grains & Pulses,Erode,1.27,2562.3,True
2024-02-26,9,Grains & Pulses,Thanjavur,1.27,2856.3,True
2024-02-26,9,Spices & Herbs,Coimbatore,1.27,749.6,True
2024-02-26,9,Spices & Herbs,Madurai,1.27,545.4,True
2024-02-26,9,Spices & Herbs,Chennai,1.27,888.3,True
2024-02-26,9,Spices & Herbs,Erode,1.27,496.7,True
2024-02-26,9,Spices & Herbs,Thanjavur,1.27,703.1,True
2024-02-26,9,Nuts & Oilseeds,Coimbatore,1.27,898.9,True
2024-02-26,9,Nuts & Oilseeds,Madurai,1.27,827.4,True
2024-02-26,9,Nuts & Oilseeds,Chennai,1.27,1008.2,True
2024-02-26,9,Nuts & Oilseeds,Erode,1.27,839.3,True
2024-02-26,9,Nuts & Oilseeds,Thanjavur,1.27,845.0,True
2024-03-04,10,Vegetables,Coimbatore,1.28,1837.8,True
2024-03-04,10,Vegetables,Madurai,1.28,2228.6,True
2024-03-04,10,Vegetables,Chennai,1.28,2854.8,True
2024-03-04,10,Vegetables,Erode,1.28,1643.2,True
2024-03-04,10,Vegetables,Thanjavur,1.28,1938.4,True
2024-03-04,10,Fruits,Coimbatore,1.28,1316.3,True
2024-03-04,10,Fruits,Madurai,1.28,1265.6,True
2024-03-04,10,Fruits,Chennai,1.28,1749.3,True
2024-03-04,10,Fruits,Erode,1.28,1253.1,True
2024-03-04,10,Fruits,Thanjavur,1.28,1431.0,True
2024-03-04,10,Grains & Pulses,Coimbatore,1.28,3472.9,True
2024-03-04,10,Grains & Pulses,Madurai,1.28,2679.5,True
2024-03-04,10,Grains & Pulses,Chennai,1.28,4048.7,True
2024-03-04,10,Grains & Pulses,Erode,1.28,2591.7,True
2024-03-04,10,Grains & Pulses,Thanjavur,1.28,3714.4,True
2024-03-04,10,Spices & Herbs,Coimbatore,1.28,591.7,True
2024-03-04,10,Spices & Herbs,Madurai,1.28,618.6,True
2024-03-04,10,Spices & Herbs,Chennai,1.28,732.7,True
2024-03-04,10,Spices & Herbs,Erode,1.28,618.4,True
2024-03-04,10,Spices & Herbs,Thanjavur,1.28,689.6,True
2024-03-04,10,Nuts & Oilseeds,Coimbatore,1.28,861.3,True
2024-03-04,10,Nuts & Oilseeds,Madurai,1.28,882.5,True
2024-03-04,10,Nuts & Oilseeds,Chennai,1.28,1323.3,True
2024-03-04,10,Nuts & Oilseeds,Erode,1.28,782.4,True
2024-03-04,10,Nuts & Oilseeds,Thanjavur,1.28,966.0,True
2024-03-11,11,Vegetables,Coimbatore,1.29,2000.5,True
2024-03-11,11,Vegetables,Madurai,1.29,2265.7,True
2024-03-11,11,Vegetables,Chennai,1.29,2674.9,True
2024-03-11,11,Vegetables,Erode,1.29,1909.8,True
2024-03-11,11,Vegetables,Thanjavur,1.29,2259.6,True
2024-03-11,11,Fruits,Coimbatore,1.29,1623.8,True
2024-03-11,11,Fruits,Madurai,1.29,1264.9,True
2024-03-11,11,Fruits,Chennai,1.29,1650.0,True
2024-03-11,11,Fruits,Erode,1.29,1095.6,True
2024-03-11,11,Fruits,Thanjavur,1.29,1496.1,True
2024-03-11,11,Grains & Pulses,Coimbatore,1.29,3753.5,True
2024-03-11,11,Grains & Pulses,Madurai,1.29,3584.4,True
2024-03-11,11,Grains & Pulses,Chennai,1.29,3692.6,True
2024-03-11,11,Grains & Pulses,Erode,1.29,3252.0,True
2024-03-11,11,Grains & Pulses,Thanjavur,1.29,3627.4,True
2024-03-11,11,Spices & Herbs,Coimbatore,1.29,700.3,True
2024-03-11,11,Spices & Herbs,Madurai,1.29,663.8,True
2024-03-11,11,Spices & Herbs,Chennai,1.29,729.4,True
2024-03-11,11,Spices & Herbs,Erode,1.29,591.4,True
2024-03-11,11,Spices & Herbs,Thanjavur,1.29,763.9,True
2024-03-11,11,Nuts & Oilseeds,Coimbatore,1.29,1113.2,True
2024-03-11,11,Nuts & Oilseeds,Madurai,1.29,800.6,True
2024-03-11,11,Nuts & Oilseeds,Chennai,1.29,1278.7,True
2024-03-11,11,Nuts & Oilseeds,Erode,1.29,938.0,True
2024-03-11,11,Nuts & Oilseeds,Thanjavur,1.29,1091.1,True
2024-03-18,12,Vegetables,Coimbatore,1.3,1882.4,True
2024-03-18,12,Vegetables,Madurai,1.3,1741.2,True
2024-03-18,12,Vegetables,Chennai,1.3,2775.5,True
2024-03-18,12,Vegetables,Erode,1.3,1744.9,True
2024-03-18,12,Vegetables,Thanjavur,1.3,2087.8,True
2024-03-18,12,Fruits,Coimbatore,1.3,1450.6,True
2024-03-18,12,Fruits,Madurai,1.3,1227.1,True
2024-03-18,12,Fruits,Chennai,1.3,1859.8,True
2024-03-18,12,Fruits,Erode,1.3,1406.5,True
2024-03-18,12,Fruits,Thanjavur,1.3,1424.9,True
2024-03-18,12,Grains & Pulses,Coimbatore,1.3,3073.7,True
2024-03-18,12,Grains & Pulses,Madurai,1.3,2852.2,True
2024-03-18,12,Grains & Pulses,Chennai,1.3,3801.8,True
2024-03-18,12,Grains & Pulses,Erode,1.3,2618.8,True
2024-03-18,12,Grains & Pulses,Thanjavur,1.3,3398.7,True
2024-03-18,12,Spices & Herbs,Coimbatore,1.3,784.4,True
2024-03-18,12,Spices & Herbs,Madurai,1.3,632.3,True
2024-03-18,12,Spices & Herbs,Chennai,1.3,853.8,True
2024-03-18,12,Spices & Herbs,Erode,1.3,621.1,True
2024-03-18,12,Spices & Herbs,Thanjavur,1.3,574.0,True
2024-03-18,12,Nuts & Oilseeds,Coimbatore,1.3,976.1,True
2024-03-18,12,Nuts & Oilseeds,Madurai,1.3,827.8,True
2024-03-18,12,Nuts & Oilseeds,Chennai,1.3,1044.0,True
2024-03-18,12,Nuts & Oilseeds,Erode,1.3,825.2,True
2024-03-18,12,Nuts & Oilseeds,Thanjavur,1.3,867.2,True
2024-03-25,13,Vegetables,Coimbatore,1.3,2475.3,True
2024-03-25,13,Vegetables,Madurai,1.3,1821.0,True
2024-03-25,13,Vegetables,Chennai,1.3,2347.8,True
2024-03-25,13,Vegetables,Erode,1.3,1600.4,True
2024-03-25,13,Vegetables,Thanjavur,1.3,2014.3,True
2024-03-25,13,Fruits,Coimbatore,1.3,1306.2,True
2024-03-25,13,Fruits,Madurai,1.3,1470.8,True
2024-03-25,13,Fruits,Chennai,1.3,1491.4,True
2024-03-25,13,Fruits,Erode,1.3,1270.2,True
2024-03-25,13,Fruits,Thanjavur,1.3,1624.8,True
2024-03-25,13,Grains & Pulses,Coimbatore,1.3,2945.3,True
2024-03-25,13,Grains & Pulses,Madurai,1.3,3358.0,True
2024-03-25,13,Grains & Pulses,Chennai,1.3,3699.8,True
2024-03-25,13,Grains & Pulses,Erode,1.3,2744.1,True
2024-03-25,13,Grains & Pulses,Thanjavur,1.3,3214.4,True
2024-03-25,13,Spices & Herbs,Coimbatore,1.3,622.7,True
2024-03-25,13,Spices & Herbs,Madurai,1.3,633.7,True
2024-03-25,13,Spices & Herbs,Chennai,1.3,878.7,True
2024-03-25,13,Spices & Herbs,Erode,1.3,646.2,True
2024-03-25,13,Spices & Herbs,Thanjavur,1.3,574.5,True
2024-03-25,13,Nuts & Oilseeds,Coimbatore,1.3,1038.8,True
2024-03-25,13,Nuts & Oilseeds,Madurai,1.3,885.8,True
2024-03-25,13,Nuts & Oilseeds,Chennai,1.3,1243.3,True
2024-03-25,13,Nuts & Oilseeds,Erode,1.3,880.0,True
2024-03-25,13,Nuts & Oilseeds,Thanjavur,1.3,846.3,True
2024-04-01,14,Vegetables,Coimbatore,1.3,2150.7,True
2024-04-01,14,Vegetables,Madurai,1.3,1846.0,True
2024-04-01,14,Vegetables,Chennai,1.3,2778.3,True
2024-04-01,14,Vegetables,Erode,1.3,2008.3,True
2024-04-01,14,Vegetables,Thanjavur,1.3,1999.4,True
2024-04-01,14,Fruits,Coimbatore,1.3,1278.7,True
2024-04-01,14,Fruits,Madurai,1.3,1176.6,True
2024-04-01,14,Fruits,Chennai,1.3,1753.4,True
2024-04-01,14,Fruits,Erode,1.3,1233.4,True
2024-04-01,14,Fruits,Thanjavur,1.3,1490.0,True
2024-04-01,14,Grains & Pulses,Coimbatore,1.3,3518.9,True
2024-04-01,14,Grains & Pulses,Madurai,1.3,2714.5,True
2024-04-01,14,Grains & Pulses,Chennai,1.3,4539.5,True
2024-04-01,14,Grains & Pulses,Erode,1.3,2602.2,True
2024-04-01,14,Grains & Pulses,Thanjavur,1.3,3626.5,True
2024-04-01,14,Spices & Herbs,Coimbatore,1.3,641.9,True
2024-04-01,14,Spices & Herbs,Madurai,1.3,736.7,True
2024-04-01,14,Spices & Herbs,Chennai,1.3,737.3,True
2024-04-01,14,Spices & Herbs,Erode,1.3,652.9,True
2024-04-01,14,Spices & Herbs,Thanjavur,1.3,600.1,True
2024-04-01,14,Nuts & Oilseeds,Coimbatore,1.3,999.6,True
2024-04-01,14,Nuts & Oilseeds,Madurai,1.3,833.7,True
2024-04-01,14,Nuts & Oilseeds,Chennai,1.3,1311.0,True
2024-04-01,14,Nuts & Oilseeds,Erode,1.3,892.8,True
2024-04-01,14,Nuts & Oilseeds,Thanjavur,1.3,825.0,True
2024-04-08,15,Vegetables,Coimbatore,1.29,2408.4,True
2024-04-08,15,Vegetables,Madurai,1.29,2124.7,True
2024-04-08,15,Vegetables,Chennai,1.29,2256.0,True
2024-04-08,15,Vegetables,Erode,1.29,1860.3,True
2024-04-08,15,Vegetables,Thanjavur,1.29,2257.5,True
2024-04-08,15,Fruits,Coimbatore,1.29,1688.3,True
2024-04-08,15,Fruits,Madurai,1.29,1409.3,True
2024-04-08,15,Fruits,Chennai,1.29,1628.8,True
2024-04-08,15,Fruits,Erode,1.29,1304.8,True
2024-04-08,15,Fruits,Thanjavur,1.29,1309.4,True
2024-04-08,15,Grains & Pulses,Coimbatore,1.29,2989.6,True
2024-04-08,15,Grains & Pulses,Madurai,1.29,3291.2,True
2024-04-08,15,Grains & Pulses,Chennai,1.29,3415.6,True
2024-04-08,15,Grains & Pulses,Erode,1.29,3205.8,True
2024-04-08,15,Grains & Pulses,Thanjavur,1.29,2815.2,True
2024-04-08,15,Spices & Herbs,Coimbatore,1.29,799.0,True
2024-04-08,15,Spices & Herbs,Madurai,1.29,709.9,True
2024-04-08,15,Spices & Herbs,Chennai,1.29,717.3,True
2024-04-08,15,Spices & Herbs,Erode,1.29,625.1,True
2024-04-08,15,Spices & Herbs,Thanjavur,1.29,675.7,True
2024-04-08,15,Nuts & Oilseeds,Coimbatore,1.29,1012.9,True
2024-04-08,15,Nuts & Oilseeds,Madurai,1.29,1026.9,True
2024-04-08,15,Nuts & Oilseeds,Chennai,1.29,1187.3,True
2024-04-08,15,Nuts & Oilseeds,Erode,1.29,930.5,True
2024-04-08,15,Nuts & Oilseeds,Thanjavur,1.29,1064.9,True
2024-04-15,16,Vegetables,Coimbatore,1.28,2439.0,True
2024-04-15,16,Vegetables,Madurai,1.28,1827.0,True
2024-04-15,16,Vegetables,Chennai,1.28,2789.3,True
2024-04-15,16,Vegetables,Erode,1.28,1812.3,True
2024-04-15,16,Vegetables,Thanjavur,1.28,1776.0,True
2024-04-15,16,Fruits,Coimbatore,1.28,1549.4,True
2024-04-15,16,Fruits,Madurai,1.28,1364.5,True
2024-04-15,16,Fruits,Chennai,1.28,1489.4,True
2024-04-15,16,Fruits,Erode,1.28,1122.5,True
2024-04-15,16,Fruits,Thanjavur,1.28,1210.4,True
2024-04-15,16,Grains & Pulses,Coimbatore,1.28,3485.4,True
2024-04-15,16,Grains & Pulses,Madurai,1.28,3206.4,True
2024-04-15,16,Grains & Pulses,Chennai,1.28,4185.4,True
2024-04-15,16,Grains & Pulses,Erode,1.28,2965.6,True
2024-04-15,16,Grains & Pulses,Thanjavur,1.28,3272.6,True
2024-04-15,16,Spices & Herbs,Coimbatore,1.28,737.0,True
2024-04-15,16,Spices & Herbs,Madurai,1.28,608.0,True
2024-04-15,16,Spices & Herbs,Chennai,1.28,814.3,True
2024-04-15,16,Spices & Herbs,Erode,1.28,655.9,True
2024-04-15,16,Spices & Herbs,Thanjavur,1.28,589.7,True
2024-04-15,16,Nuts & Oilseeds,Coimbatore,1.28,949.5,True
2024-04-15,16,Nuts & Oilseeds,Madurai,1.28,911.7,True
2024-04-15,16,Nuts & Oilseeds,Chennai,1.28,1170.3,True
2024-04-15,16,Nuts & Oilseeds,Erode,1.28,923.3,True
2024-04-15,16,Nuts & Oilseeds,Thanjavur,1.28,897.3,True
2024-04-22,17,Vegetables,Coimbatore,1.27,2242.7,True
2024-04-22,17,Vegetables,Madurai,1.27,2188.4,True
2024-04-22,17,Vegetables,Chennai,1.27,2605.1,True
2024-04-22,17,Vegetables,Erode,1.27,1757.5,True
2024-04-22,17,Vegetables,Thanjavur,1.27,2270.2,True
2024-04-22,17,Fruits,Coimbatore,1.27,1337.9,True
2024-04-22,17,Fruits,Madurai,1.27,1127.1,True
2024-04-22,17,Fruits,Chennai,1.27,1813.8,True
2024-04-22,17,Fruits,Erode,1.27,1237.7,True
2024-04-22,17,Fruits,Thanjavur,1.27,1193.1,True
2024-04-22,17,Grains & Pulses,Coimbatore,1.27,3015.1,True
2024-04-22,17,Grains & Pulses,Madurai,1.27,2708.7,True
2024-04-22,17,Grains & Pulses,Chennai,1.27,3442.9,True
2024-04-22,17,Grains & Pulses,Erode,1.27,3147.2,True
2024-04-22,17,Grains & Pulses,Thanjavur,1.27,3216.8,True
2024-04-22,17,Spices & Herbs,Coimbatore,1.27,666.3,True
2024-04-22,17,Spices & Herbs,Madurai,1.27,636.3,True
